Sample	ASV	Relative_abundance	Prevalence_Compartment	Species	Phylum	Soil_div	Compartment
P14B30CTD-F11	ASV18	1.172190784	Root & Stem	Clonostachys rosea	Ascomycota	High	Root
P14B30CTU-A06	ASV18	4.831404127	Root & Stem	Clonostachys rosea	Ascomycota	High	Stem
P14B36ATD-H07	ASV18	7.057602491	Root & Stem	Clonostachys rosea	Ascomycota	Low	Root
P14B36ATU-C02	ASV18	16.20871496	Root & Stem	Clonostachys rosea	Ascomycota	Low	Stem
P14B36BTD-H09	ASV18	0	Root & Stem	Clonostachys rosea	Ascomycota	Low	Root
P14B36BTU-C04	ASV18	0	Root & Stem	Clonostachys rosea	Ascomycota	Low	Stem
P14B36CTD-A12	ASV18	0	Root & Stem	Clonostachys rosea	Ascomycota	Low	Root
P14B36CTU-C06	ASV18	0	Root & Stem	Clonostachys rosea	Ascomycota	Low	Stem
P14M20ATD-A08	ASV18	15.20244461	Root & Stem	Clonostachys rosea	Ascomycota	High	Root
P14M20ATU-D02	ASV18	18.49466693	Root & Stem	Clonostachys rosea	Ascomycota	High	Stem
P14M20BTD-A10	ASV18	1.250977326	Root & Stem	Clonostachys rosea	Ascomycota	High	Root
P14M20BTU-D04	ASV18	5.562671546	Root & Stem	Clonostachys rosea	Ascomycota	High	Stem
P14M20CTD-B12	ASV18	8.363471971	Root & Stem	Clonostachys rosea	Ascomycota	High	Root
P14M20CTU-D06	ASV18	5.511551155	Root & Stem	Clonostachys rosea	Ascomycota	High	Stem
P14M26ATD-C08	ASV18	3.103307472	Root & Stem	Clonostachys rosea	Ascomycota	Low	Root
