Combined	All	ASV	Compartment	GxY	Soil_div	Rel_abund_Seed	Type
ASV1040_MajorY1	nsSeed-MajorY1	ASV1040	Seed	MajorY1	ns 	0	< 0.01%: Rare
ASV1040_MajorY2	nsSeed-MajorY2	ASV1040	Seed	MajorY2	ns 	0	< 0.01%: Rare
ASV1041_BostonY1	nsSeed-BostonY1	ASV1041	Seed	BostonY1	ns 	0	< 0.01%: Rare
ASV1041_BostonY2	nsSeed-BostonY2	ASV1041	Seed	BostonY2	ns 	0	< 0.01%: Rare
ASV1041_MajorY1	nsSeed-MajorY1	ASV1041	Seed	MajorY1	ns 	0	< 0.01%: Rare
ASV1041_MajorY2	nsSeed-MajorY2	ASV1041	Seed	MajorY2	ns 	0	< 0.01%: Rare
ASV1042_BostonY1	nsSeed-BostonY1	ASV1042	Seed	BostonY1	ns 	0	< 0.01%: Rare
ASV1042_BostonY2	nsSeed-BostonY2	ASV1042	Seed	BostonY2	ns 	0	< 0.01%: Rare
ASV1042_MajorY1	nsSeed-MajorY1	ASV1042	Seed	MajorY1	ns 	0	< 0.01%: Rare
ASV1042_MajorY2	nsSeed-MajorY2	ASV1042	Seed	MajorY2	ns 	0	< 0.01%: Rare
ASV1043_BostonY1	nsSeed-BostonY1	ASV1043	Seed	BostonY1	ns 	0	< 0.01%: Rare
ASV1043_BostonY2	nsSeed-BostonY2	ASV1043	Seed	BostonY2	ns 	0	< 0.01%: Rare
ASV1043_MajorY1	nsSeed-MajorY1	ASV1043	Seed	MajorY1	ns 	0	< 0.01%: Rare
ASV1043_MajorY2	nsSeed-MajorY2	ASV1043	Seed	MajorY2	ns 	0	< 0.01%: Rare
ASV1044_BostonY1	nsSeed-BostonY1	ASV1044	Seed	BostonY1	ns 	0	< 0.01%: Rare
ASV1044_BostonY2	nsSeed-BostonY2	ASV1044	Seed	BostonY2	ns 	0	< 0.01%: Rare
ASV1044_MajorY1	nsSeed-MajorY1	ASV1044	Seed	MajorY1	ns 	0	< 0.01%: Rare
ASV1044_MajorY2	nsSeed-MajorY2	ASV1044	Seed	MajorY2	ns 	0	< 0.01%: Rare
ASV1046_BostonY1	nsSeed-BostonY1	ASV1046	Seed	BostonY1	ns 	0	< 0.01%: Rare
ASV1046_BostonY2	nsSeed-BostonY2	ASV1046	Seed	BostonY2	ns 	0	< 0.01%: Rare
ASV1046_MajorY1	nsSeed-MajorY1	ASV1046	Seed	MajorY1	ns 	0	< 0.01%: Rare
ASV1046_MajorY2	nsSeed-MajorY2	ASV1046	Seed	MajorY2	ns 	0	< 0.01%: Rare
ASV1047_BostonY1	nsSeed-BostonY1	ASV1047	Seed	BostonY1	ns 	0	< 0.01%: Rare
ASV1047_BostonY2	nsSeed-BostonY2	ASV1047	Seed	BostonY2	ns 	0	< 0.01%: Rare
ASV1047_MajorY1	nsSeed-MajorY1	ASV1047	Seed	MajorY1	ns 	0	< 0.01%: Rare
ASV1047_MajorY2	nsSeed-MajorY2	ASV1047	Seed	MajorY2	ns 	0	< 0.01%: Rare
ASV1048_BostonY1	nsSeed-BostonY1	ASV1048	Seed	BostonY1	ns 	0	< 0.01%: Rare
ASV1048_BostonY2	nsSeed-BostonY2	ASV1048	Seed	BostonY2	ns 	0	< 0.01%: Rare
ASV1048_MajorY1	nsSeed-MajorY1	ASV1048	Seed	MajorY1	ns 	0	< 0.01%: Rare
ASV1048_MajorY2	nsSeed-MajorY2	ASV1048	Seed	MajorY2	ns 	0	< 0.01%: Rare
ASV1049_BostonY1	nsSeed-BostonY1	ASV1049	Seed	BostonY1	ns 	0	< 0.01%: Rare
ASV1049_BostonY2	nsSeed-BostonY2	ASV1049	Seed	BostonY2	ns 	0	< 0.01%: Rare
ASV1049_MajorY1	nsSeed-MajorY1	ASV1049	Seed	MajorY1	ns 	0	< 0.01%: Rare
ASV1049_MajorY2	nsSeed-MajorY2	ASV1049	Seed	MajorY2	ns 	0	< 0.01%: Rare
ASV105_BostonY1	nsSeed-BostonY1	ASV105	Seed	BostonY1	ns 	0	< 0.01%: Rare
ASV105_BostonY2	nsSeed-BostonY2	ASV105	Seed	BostonY2	ns 	0	< 0.01%: Rare
ASV105_MajorY1	nsSeed-MajorY1	ASV105	Seed	MajorY1	ns 	0	< 0.01%: Rare
ASV105_MajorY2	nsSeed-MajorY2	ASV105	Seed	MajorY2	ns 	0	< 0.01%: Rare
ASV1050_BostonY1	nsSeed-BostonY1	ASV1050	Seed	BostonY1	ns 	0	< 0.01%: Rare
ASV1050_BostonY2	nsSeed-BostonY2	ASV1050	Seed	BostonY2	ns 	0	< 0.01%: Rare
ASV1050_MajorY1	nsSeed-MajorY1	ASV1050	Seed	MajorY1	ns 	0	< 0.01%: Rare
ASV1050_MajorY2	nsSeed-MajorY2	ASV1050	Seed	MajorY2	ns 	0	< 0.01%: Rare
ASV1051_BostonY1	nsSeed-BostonY1	ASV1051	Seed	BostonY1	ns 	0	< 0.01%: Rare
ASV1051_BostonY2	nsSeed-BostonY2	ASV1051	Seed	BostonY2	ns 	0	< 0.01%: Rare
ASV1051_MajorY1	nsSeed-MajorY1	ASV1051	Seed	MajorY1	ns 	0	< 0.01%: Rare
ASV1051_MajorY2	nsSeed-MajorY2	ASV1051	Seed	MajorY2	ns 	0	< 0.01%: Rare
ASV1053_BostonY1	nsSeed-BostonY1	ASV1053	Seed	BostonY1	ns 	0	< 0.01%: Rare
ASV1053_BostonY2	nsSeed-BostonY2	ASV1053	Seed	BostonY2	ns 	0	< 0.01%: Rare
ASV1053_MajorY1	nsSeed-MajorY1	ASV1053	Seed	MajorY1	ns 	0	< 0.01%: Rare
ASV1053_MajorY2	nsSeed-MajorY2	ASV1053	Seed	MajorY2	ns 	0	< 0.01%: Rare
ASV1054_BostonY1	nsSeed-BostonY1	ASV1054	Seed	BostonY1	ns 	0	< 0.01%: Rare
ASV1054_BostonY2	nsSeed-BostonY2	ASV1054	Seed	BostonY2	ns 	0	< 0.01%: Rare
ASV1054_MajorY1	nsSeed-MajorY1	ASV1054	Seed	MajorY1	ns 	0	< 0.01%: Rare
ASV1054_MajorY2	nsSeed-MajorY2	ASV1054	Seed	MajorY2	ns 	0	< 0.01%: Rare
ASV1055_BostonY1	nsSeed-BostonY1	ASV1055	Seed	BostonY1	ns 	0	< 0.01%: Rare
ASV1055_BostonY2	nsSeed-BostonY2	ASV1055	Seed	BostonY2	ns 	0.004434459	< 0.01%: Rare
ASV1055_MajorY1	nsSeed-MajorY1	ASV1055	Seed	MajorY1	ns 	0	< 0.01%: Rare
ASV1055_MajorY2	nsSeed-MajorY2	ASV1055	Seed	MajorY2	ns 	0.103373022	0.01<x<1%: Intermediate
ASV1056_BostonY1	nsSeed-BostonY1	ASV1056	Seed	BostonY1	ns 	0	< 0.01%: Rare
ASV1056_BostonY2	nsSeed-BostonY2	ASV1056	Seed	BostonY2	ns 	0	< 0.01%: Rare
ASV1056_MajorY1	nsSeed-MajorY1	ASV1056	Seed	MajorY1	ns 	0	< 0.01%: Rare
ASV1056_MajorY2	nsSeed-MajorY2	ASV1056	Seed	MajorY2	ns 	0	< 0.01%: Rare
ASV1057_BostonY1	nsSeed-BostonY1	ASV1057	Seed	BostonY1	ns 	0	< 0.01%: Rare
ASV1057_BostonY2	nsSeed-BostonY2	ASV1057	Seed	BostonY2	ns 	0	< 0.01%: Rare
ASV1057_MajorY1	nsSeed-MajorY1	ASV1057	Seed	MajorY1	ns 	0	< 0.01%: Rare
ASV1057_MajorY2	nsSeed-MajorY2	ASV1057	Seed	MajorY2	ns 	0	< 0.01%: Rare
ASV1058_BostonY1	nsSeed-BostonY1	ASV1058	Seed	BostonY1	ns 	0.043223217	0.01<x<1%: Intermediate
ASV1058_BostonY2	nsSeed-BostonY2	ASV1058	Seed	BostonY2	ns 	0.057271385	0.01<x<1%: Intermediate
ASV1058_MajorY1	nsSeed-MajorY1	ASV1058	Seed	MajorY1	ns 	0	< 0.01%: Rare
ASV1058_MajorY2	nsSeed-MajorY2	ASV1058	Seed	MajorY2	ns 	0.043433632	0.01<x<1%: Intermediate
